Venue,Title,Authors,Semantic Scholar URL
Comput. Ind.,A Novel Approach to Data Augmentation for Pavement Distress Segmentation,"D. Mazzini
P. Napoletano
F. Piccoli
R. Schettini",https://www.semanticscholar.org/paper/2626eb69be066d1010f99f844b3581cf2bfa04ad
ECCV,Improving 3D Object Detection through Progressive Population Based Augmentation,"S. Cheng
Zhaoqi Leng
E. D. Cubuk
Barret Zoph
Chunyan Bai
J. Ngiam
Y. Song
Benjamin Caine
V. Vasudevan
Congcong Li
Quoc V. Le
Jonathon Shlens
Dragomir Anguelov",https://www.semanticscholar.org/paper/2226949906eaed2aae07a06150ca7cff4ca2f8b9
ECCV,Learning Data Augmentation Strategies for Object Detection,"Barret Zoph
E. Cubuk
G. Ghiasi
Tsung-Yi Lin
Jonathon Shlens
Quoc V. Le",https://www.semanticscholar.org/paper/7b48a1cbd2bfbb5045269626f3303e68d7e63a05
ECCV,Faster AutoAugment: Learning Augmentation Strategies using Backpropagation,"Ryuichiro Hataya
J. Zdenek
Kazuki Yoshizoe
Hideki Nakayama",https://www.semanticscholar.org/paper/4fbcec322c87adf897bf8c630734cad586740be5
ECCV,OnlineAugment: Online Data Augmentation with Less Domain Knowledge,"Z. Tang
Yunhe Gao
Leonid Karlinsky
P. Sattigeri
R. Feris
D. Metaxas",https://www.semanticscholar.org/paper/69cc737a68721cd2738e22e90ebd9a1a2f380571
ECCV 2020,DADA: Differentiable Automatic Data Augmentation,"Y. Li
Guosheng Hu
Yongtao Wang
Timothy M. Hospedales
N. Robertson
Y. Yang",https://www.semanticscholar.org/paper/991dac45fe763d0ba0deba6b79bee9e1e9d56c77
EMNLP,Variational Hierarchical Dialog Autoencoder for Dialogue State Tracking Data Augmentation,"K. Yoo
Hanbit Lee
Franck Dernoncourt
Trung Bui
W. Chang
Sang-goo Lee",https://www.semanticscholar.org/paper/64b18328fd8dbbc557b603e99258fda16f30be92
EMNLP,Dialogue Distillation: Open-domain Dialogue Augmentation Using Unpaired Data,"Rongsheng Zhang
Yinhe Zheng
Jianzhi Shao
Xiao-Xi Mao
Yadong Xi
Minlie Huang",https://www.semanticscholar.org/paper/5324e04f5a166ba2940e5eecc94c242773409c18
EMNLP,How Effective is Task-Agnostic Data Augmentation for Pretrained Transformers?,"S. Longpre
Yu Wang
C. DuBois",https://www.semanticscholar.org/paper/f10f898e42973e7c3dee36ccb24d96e39e4583cc
EMNLP,Adversarial Augmentation Policy Search for Domain and Cross-Lingual Generalization in Reading Comprehension,"Adyasha Maharana
Mohit Bansal",https://www.semanticscholar.org/paper/b1949b1d42519a62b086c683df243479fc6fdbba
EMNLP,Tell Me How to Ask Again: Question Data Augmentation with Controllable Rewriting in Continuous Space,"Dayiheng Liu
Yeyun Gong
J. Fu
Yu Yan
J. Chen
J. Lv
N. Duan
M. Zhou",https://www.semanticscholar.org/paper/0b3c09efb22ed51d976cdc78d679fcc44fcdd3c6
EMNLP/IJCNLP,Automatically Learning Data Augmentation Policies for Dialogue Tasks,"Tong Niu
Mohit Bansal",https://www.semanticscholar.org/paper/5cfd70f5cfd8e4742cf8937c2e0cfb7f12f3acfe
ICANN,Automatic Augmentation by Hill Climbing,"Ricardo Cruz
J. Costa
Jaime S. Cardoso",https://www.semanticscholar.org/paper/e864c63fae1b122b5142019e85c6c21d18fd390e
ICLR,Efficient Augmentation via Data Subsampling,"Michael Kuchnik
V. Smith",https://www.semanticscholar.org/paper/526ef02a3a4624f1dbd0f2ce51778eb92a893e8a
ICLR,Adversarial AutoAugment,"Xinyu Zhang
Q. Wang
Jia-yu Zhang
Z. Zhong",https://www.semanticscholar.org/paper/7d668ed2d5b383c7ff9641974b2bc0c84f43e251
ICLR,ReMixMatch: Semi-Supervised Learning with Distribution Matching and Augmentation Anchoring,"David Berthelot
N. Carlini
E. D. Cubuk
Alex Kurakin
Kihyuk Sohn
Han Zhang
Colin Raffel",https://www.semanticscholar.org/paper/9c5e6395bee6c46273fec3bde416ca07c7b1ad6a
ICML,Population Based Augmentation: Efficient Learning of Augmentation Policy Schedules,"D. Ho
Eric Liang
I. Stoica
P. Abbeel
Xi Chen",https://www.semanticscholar.org/paper/60f7f9161eb88c71c893969fb0d6586f70be99fc
ICML,A Kernel Theory of Modern Data Augmentation,"Tri Dao
A. Gu
Alexander J. Ratner
V. Smith
C. D. Sa
C. Ré",https://www.semanticscholar.org/paper/494e63c4a333bf3be8a28dc0213b0e0d39c2ef04
ICML 2020,On the Generalization Effects of Linear Transformations in Data Augmentation,"Sen Wu
Hongyang Zhang
Gregory Valiant
Christopher Ré",https://www.semanticscholar.org/paper/361e75935068af59173a85ded80d13765f8e8c65
ICML 2020,Self-supervised Label Augmentation via Input Transformations,"Hankook Lee
Sung Ju Hwang
Jinwoo Shin",https://www.semanticscholar.org/paper/fb623b797c297519b1c87a56cb2a2ca293aabaed
ICSE,Fuzz testing based data augmentation to improve robustness of deep neural networks,"Xiang Gao
Ripon K. Saha
M. R. Prasad
Abhik Roychoudhury",https://www.semanticscholar.org/paper/5b04e1f31c671e19cdd752c4c9a521c62b3ee6c7
IEEE Access,Data Augmentation and Second-Order Pooling for Facial Expression Recognition,"Xiaoyun Tong
Songlin Sun
M. Fu",https://www.semanticscholar.org/paper/039c09d667f6bcfe2e0f950c241c180b26d1000b
IEEE Access,Data Augmentation for Deep Learning-Based Radio Modulation Classification,"L. Huang
Weijian Pan
Y. Zhang
Liping Qian
N. Gao
Y. Wu",https://www.semanticscholar.org/paper/0ca68867b15c2a0ffdd4c96ed43c01f19c6c35ad
IEEE Access,Perspective Transformation Data Augmentation for Object Detection,"K. Wang
B. Fang
Jiye Qian
S. Yang
X. Zhou
J. Zhou",https://www.semanticscholar.org/paper/4f2058f1ccbe96efcac5fbb3db19f01bda76f50a
IEEE Access,Toward Robust Pedestrian Detection With Data Augmentation,"S. Cygert
A. Czyzewski",https://www.semanticscholar.org/paper/fd7b6b59e8c2ab90671eca245cd848661e5ee8b7
IEEE Access,Enhanced Skin Condition Prediction Through Machine Learning Using Dynamic Training and Testing Augmentation,"Tryan Aditya Putra
Syahidah Izza Rufaida
J. Leu",https://www.semanticscholar.org/paper/7732fe6d2721dd3bf71f4b4649b8dc698ae517d5
IEEE Consumer Electronics Magazine,Deep Learning for Consumer Devices and Services 4—A Review of Learnable Data Augmentation Strategies for Improved Training of Deep Neural Networks,"J. Lemley
P. Corcoran",https://www.semanticscholar.org/paper/9330979e4c3d63dd4fc9d749e7b6def9352e4a15
IEEE Robotics and Automation Letters,Sensor Transfer: Learning Optimal Sensor Effect Image Augmentation for Sim-to-Real Domain Adaptation,"A. Carlson
Katherine A. Skinner
R. Vasudevan
Matthew Johnson-Roberson",https://www.semanticscholar.org/paper/9d72ea56abe9e791df13d591ab9952b36ba70ac9
IEEE Signal Processing Letters,Mining Hard Augmented Samples for Robust Facial Landmark Localization With CNNs,"Zhen-Hua Feng
J. Kittler
Xiaojun Wu",https://www.semanticscholar.org/paper/95dbf2f3252c32ae57a33e1685f410dd75b020f1
IEEE Transactions on Circuits and Systems for Video Technology,Data Augmentation Using Random Image Cropping and Patching for Deep CNNs,"Ryo Takahashi
Takashi Matsubara
K. Uehara",https://www.semanticscholar.org/paper/1f5066018662b7c7d13a57611e6f118b2871d39f
IEEE Transactions on Medical Imaging,Adaptive Augmentation of Medical Data Using Independently Conditional Variational Auto-Encoders,"Mehran Pesteie
P. Abolmaesumi
R. Rohling",https://www.semanticscholar.org/paper/7e44e16d7db23f744ffac5198e8f6748aaee1d9d
IIH-MSP,Efficient data augmentation using graph imputation neural networks,"Indro Spinelli
S. Scardapane
M. Scarpiniti
A. Uncini",https://www.semanticscholar.org/paper/cc20612d48c6db05a1f18f589d42cef5274423cf
INTERSPEECH,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,"D. Park
William Chan
Y. Zhang
Chung-Cheng Chiu
Barret Zoph
E. D. Cubuk
Quoc V. Le",https://www.semanticscholar.org/paper/b0fae9fbb4e580d92395eabafe73e317ae6510e3
INTERSPEECH,Data Augmentation Using GANs for Speech Emotion Recognition,"Aggelina Chatziagapi
Georgios Paraskevopoulos
Dimitris Sgouropoulos
Georgios Pantazopoulos
Malvina Nikandrou
Theodoros Giannakopoulos
Athanasios Katsamanis
A. Potamianos
Shrikanth S. Narayanan",https://www.semanticscholar.org/paper/f3c25b8aa1f7e2a00b947c38d52dcaa6b3da31bd
IPMI,Manifold Exploring Data Augmentation with Geometric Transformations for Increased Performance and Robustness,"Magdalini Paschali
W. Simson
Abhijit Guha Roy
R. Göbl
C. Wachinger
Nassir Navab",https://www.semanticscholar.org/paper/0c80b70f2d92bd1ffcd6c8a9538d8730a64d5f34
IberLEF@SEPLN,Transformers and Data Augmentation for Aggressiveness Detection in Mexican Spanish,"Mario Guzman-Silverio
Ángel Balderas-Paredes
A. P. López-Monroy",https://www.semanticscholar.org/paper/27363f1a5cb2d5aed0c279b8f927ff890d5e58fd
Inf.,Albumentations: fast and flexible image augmentations,"Alexander V. Buslaev
A. Parinov
Eugene Khvedchenya
V. Iglovikov
A. Kalinin",https://www.semanticscholar.org/paper/17555c227941654bc19d613742e2508f209c6d86
International Conference on Machine Vision,Single-sample augmentation framework for training Viola-Jones classifiers,"Daniil P. Matalov
S. Usilin
V. Arlazarov",https://www.semanticscholar.org/paper/97ece07c2d6cb3411607ce85c9648563a98d15cf
International Journal of Computer Assisted Radiology and Surgery,Unravelling the effect of data augmentation transformations in polyp segmentation,"L. F. Sánchez-Peralta
Artzai Picón
F. M. Sánchez-Margallo
J. B. Pagador",https://www.semanticscholar.org/paper/ae33eef5c9e040643b1a9a54bf4ca7dbc48c3c32
Internetware '19,A Preliminary Study on Data Augmentation of Deep Learning for Image Classification,"B. Hu
Cheng Lei
Dong Wang
Shu Zhang
Z. Chen",https://www.semanticscholar.org/paper/e43bbcf6fe73d072f7ef92a68d4e3857b06594ba
Journal of Big Data,A survey on Image Data Augmentation for Deep Learning,"Connor Shorten
T. Khoshgoftaar",https://www.semanticscholar.org/paper/3813b88a4ec3c63919df47e9694b577f4691f7e5
MICAI,Data Augmentation with Transformers for Text Classification,"José Medardo Tapia-Téllez
H. Escalante",https://www.semanticscholar.org/paper/c94d757cfcb54a658dcde7341b7435152fe71f00
MICCAI,Targeting Precision with Data Augmented Samples in Deep Learning,"Pietro Nardelli
Raúl San José Estépar",https://www.semanticscholar.org/paper/4a9b4e57290deb6151af3ab37d7a443d73857685
MICCAI,Automatic Data Augmentation for 3D Medical Image Segmentation,"Ju Xu
Mengzhang Li
Zhanxing Zhu",https://www.semanticscholar.org/paper/bf97af8b8eea25be50f077979807a2d3619b01f0
Medical Imaging: Image Processing,Anatomically-Informed Data Augmentation for functional MRI with Applications to Deep Learning,"Kevin P. Nguyen
C. C. Fatt
Alex Treacher
Cooper Mellema
M. Trivedi
A. Montillo",https://www.semanticscholar.org/paper/0f1c63f7fe55325859151602525bf781a088f7f8
Medical image analysis,Selective synthetic augmentation with HistoGAN for improved histopathology image classification.,"Yuan Xue
Jiarong Ye
Qianying Zhou
L. Long
S. Antani
Zhiyun Xue
Carl Cornwell
R. Zaino
K. C. Cheng
Xiaolei Huang",https://www.semanticscholar.org/paper/962676b688b6e35ec2a3c8e6b3bdce638d6ca8db
NeurIPS,Implicit Semantic Data Augmentation for Deep Networks,"Yulin Wang
Xuran Pan
Shiji Song
H. Zhang
Cheng Wu
Gao Huang",https://www.semanticscholar.org/paper/11babff42b5bf9841ebb87781bfc21f74acb3d28
NeurIPS,Fast AutoAugment,"Sungbin Lim
Ildoo Kim
Taesup Kim
C. Kim
S. Kim",https://www.semanticscholar.org/paper/e808cac4b64a8c73ada719f76ad885454c71a74c
Neural Computing and Applications,A survey on face data augmentation for the training of deep neural networks,"X. Wang
K. Wang
S. Lian",https://www.semanticscholar.org/paper/bb0ba74be5248c3ec684e164b4c2cb92f04c1c0b
Pattern Recognit. Lett.,Greedy AutoAugment,"A. Naghizadeh
Mohammadsajad Abavisani
D. Metaxas",https://www.semanticscholar.org/paper/68a97d3f89622ff9a2873f409389f6797ca3a60c
Sensors,Data Augmentation for Motor Imagery Signal Classification Based on a Hybrid Neural Network,"K. Zhang
Guanghua Xu
Zezhen Han
Kaiquan Ma
X. Zheng
Longting Chen
N. Duan
Sicong Zhang",https://www.semanticscholar.org/paper/194d14b45d5e96c02573ac8b24991efef50d868f
Sensors,Data Augmentation of Surface Electromyography for Hand Gesture Recognition,"Panagiotis Tsinganos
Bruno Cornelis
J. Cornelis
B. Jansen
A. Skodras",https://www.semanticscholar.org/paper/636e05d412b12decbfaa2a267060575b80da4c1b
Sensors,CNN Training with Twenty Samples for Crack Detection via Data Augmentation,"Zirui Wang
Jingjing Yang
Haonan Jiang
Xueling Fan",https://www.semanticscholar.org/paper/5907165a6fd08f781800b1607811d57aae3c21f7
UAI,Greedy Policy Search: A Simple Baseline for Learnable Test-Time Augmentation,"D. Molchanov
Alexander Lyzhov
Yuliya Molchanova
Arsenii Ashukha
D. Vetrov",https://www.semanticscholar.org/paper/8286fbad6d4712d950689930720134bc8828963f
WWW,Snippext: Semi-supervised Opinion Mining with Augmented Data,"Zhengjie Miao
Y. Li
Xiaolan Wang
W. Tan",https://www.semanticscholar.org/paper/f54316d6f112723d28e5bb1f98e5686345d8a0dc
