Venue,Title,Authors,Semantic Scholar URL
2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),PointAugment: An Auto-Augmentation Framework for Point Cloud Classification,"Ruihui Li
Xianzhi Li
P. Heng
Chi-Wing Fu",https://www.semanticscholar.org/paper/305bc5f44f8ee46ca977a04f759dbff163d884c1
2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),Learn to Augment: Joint Data Augmentation and Network Optimization for Text Recognition,"Canjie Luo
Yuanzhi Zhu
Lian-Wen Jin
Yongpan Wang",https://www.semanticscholar.org/paper/7dc450d79a0d3be890883c9042e12d110addb09d
2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),Randaugment: Practical automated data augmentation with a reduced search space,"E. D. Cubuk
Barret Zoph
Jonathon Shlens
Quoc V. Le",https://www.semanticscholar.org/paper/6bbd51697c25493ea15f4cac830e28eeac143898
2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),SmoothMix: a Simple Yet Effective Data Augmentation to Train Robust Classifiers,"J. Lee
M. Zaheer
M. Astrid
Seungik Lee",https://www.semanticscholar.org/paper/361f006b76873908613aba731a80ebeb44e59cad
2020 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),MA3: Model Agnostic Adversarial Augmentation for Few Shot learning,"R. Jena
Shirsendu Sukanta Halder
K. Sycara",https://www.semanticscholar.org/paper/9da44c7dfccd6a5ba4299f47d6796345f2922070
2020 IEEE/SICE International Symposium on System Integration (SII),Data Augmentation for GrossMotor-ActivityRecognition Using DCGAN,"Hyuga Ono
S. Suzuki",https://www.semanticscholar.org/paper/1156795073d67815ac6faafe2ab0393062e594bb
2020 International Conference on Omni-layer Intelligent Systems (COINS),Multi-sensor data augmentation for robust sensing,"Aaqib Saeed
Ye Li
T. Ozcelebi
J. Lukkien",https://www.semanticscholar.org/paper/c70d9ba7a21b7bf1adabe6df1e55168ea3ba2e3c
AAAI,Dialog State Tracking with Reinforced Data Augmentation,"Yichun Yin
L. Shang
Xin Jiang
Xiao Chen
Qun Liu",https://www.semanticscholar.org/paper/bb16c4c9b78004c045be62b9806d4cb588f29704
ACL,Soft Contextual Data Augmentation for Neural Machine Translation,"Jinhua Zhu
F. Gao
Lijun Wu
Yingce Xia
Tao Qin
W. Zhou
Xueqi Cheng
T. Liu",https://www.semanticscholar.org/paper/258e92bd6ceaeb78e7384eeea57b4c7a2c356cfa
ACL,Logic-Guided Data Augmentation and Regularization for Consistent Question Answering,"Akari Asai
Hannaneh Hajishirzi",https://www.semanticscholar.org/paper/c20e0f7d3a45233ad831e5ad3ac15767fb1c7cb1
ACML,Learning to Augment with Feature Side-information,"Amina Mollaysa
Alexandros Kalousis
E. Bruno
M. Diephuis",https://www.semanticscholar.org/paper/36f430b0eda500a1caa13368a9d9e9a2fa5b8e54
